id,name,initials,role,connected,email,source,service,forWho,connectedOn,amber,amount
aarav,Aarav Reddy,AR,student,1,aarav.r@gmail.com,Recommended match,College shortlisting,,2026-09-12 11:10,0,1999
meera,Meera Kapoor,MK,student,1,meera.k@gmail.com,Visited profile,SOP review,,2026-09-03 14:20,0,1999
sohan,Sohan Nair,SN,student,1,sohan.n@gmail.com,From chat share,,,2026-09-18 16:05,0,1999
jia,Jia Das,JD,student,1,jia.das@gmail.com,Recommended match,,,2026-07-01 18:00,0,1999
tanvi,Tanvi Nanda,TN,student,1,tanvi.n@gmail.com,From Community,Essay workshop,,2026-06-20 10:00,0,1999
ravi,Ravi Kapoor,RK,parent,1,ravi.k@gmail.com,Visited profile,,For Meera Kapoor,2026-09-08 17:00,0,1999
ananya,Ananya Iyer,AI,parent,1,ananya.i@gmail.com,Recommended match,Pathway consult,For Kabir Iyer,2026-05-02 12:00,0,1999
p4fe8b42e,Aisha Das,AD,parent,0,aisha.das@gmail.com,Visited profile,,,,1,
p4283c2be,Vivaan Das,VD,student,0,vivaan.das@gmail.com,From chat share,,,,1,
p0de666ad,Nikhil Kapoor,NK,parent,1,nikhil.kapoor@gmail.com,Recommended match,College shortlisting,,2026-08-25 00:20,0,1999
p4d755649,Naina Rao,NR,student,0,naina.rao@gmail.com,Visited profile,,,,0,
p64e12f1e,Aarav Bhat,AB,student,0,aarav.bhat@gmail.com,From Community,,,,0,
p24ae4e27,Neel Malhotra,NM,student,0,neel.malhotra@gmail.com,Recommended match,,,,1,
p8a66d229,Ananya Joshi,AJ,student,0,ananya.joshi@gmail.com,Visited profile,,,,0,
p3454b490,Kiara Khan,KK,student,0,kiara.khan@gmail.com,Visited profile,,,,0,
pe7c1c7b5,Veer Trivedi,VT,student,0,veer.trivedi@gmail.com,Recommended match,,,,0,
pf007bdc1,Myra Malhotra,MM,student,1,myra.malhotra@gmail.com,Recommended match,Visa readiness,,2026-09-21 05:15,0,1999
pefdf7a5e,Aditi Saxena,AS,parent,0,aditi.saxena@gmail.com,Recommended match,,,,0,
p4da68559,Rahul Iyer,RI,student,1,rahul.iyer@gmail.com,Visited profile,Parent consult,,2026-07-27 17:45,0,1999
pe105b7ef,Zara Chawla,ZC,parent,0,zara.chawla@gmail.com,Recommended match,,,,1,
pa684b853,Anika Sharma,AS,student,0,anika.sharma@gmail.com,From Community,,,,0,
pa643f62f,Sahil Mehta,SM,student,0,sahil.mehta@gmail.com,Recommended match,,,,1,
p8113578d,Sohan Menon,SM,student,0,sohan.menon@gmail.com,Visited profile,,,,1,
p15982c72,Myra Jain,MJ,student,1,myra.jain@gmail.com,From Community,Parent consult,,2026-09-02 13:40,0,1999
p41f5241c,Priya Nanda,PN,student,0,priya.nanda@gmail.com,Recommended match,,,,0,
pc5f1f966,Ishaan Singh,IS,student,0,ishaan.singh@gmail.com,From chat share,,,,1,
p6df7401e,Isha Verma,IV,student,0,isha.verma@gmail.com,From chat share,,,,0,
p0674066e,Neel Chawla,NC,parent,0,neel.chawla@gmail.com,From chat share,,,,0,
p2a528afd,Anika Patel,AP,student,0,anika.patel@gmail.com,From Community,,,,0,
p0bdca02b,Veer Saxena,VS,student,0,veer.saxena@gmail.com,From Community,,,,1,
p21fa8596,Tara Bhat,TB,student,0,tara.bhat@gmail.com,From chat share,,,,1,
p0e9d65a2,Nikhil Iyer,NI,student,0,nikhil.iyer@gmail.com,Recommended match,,,,0,
p74e86027,Priya Verma,PV,student,0,priya.verma@gmail.com,Visited profile,,,,1,
p360ebb41,Aisha Trivedi,AT,student,0,aisha.trivedi@gmail.com,Recommended match,,,,1,
pcc4bac42,Rahul Bhat,RB,parent,0,rahul.bhat@gmail.com,From chat share,,,,0,
p717901ee,Aarav Banerjee,AB,student,1,aarav.banerjee@gmail.com,From Community,,,2026-08-01 23:20,0,1999
p46f27968,Arjun Bose,AB,parent,0,arjun.bose@gmail.com,From chat share,,,,0,
p0ccde525,Ravi Kulkarni,RK,student,1,ravi.kulkarni@gmail.com,Recommended match,,,2026-09-15 09:50,0,1999
pdc05785f,Isha Ahuja,IA,student,0,isha.ahuja@gmail.com,From Community,,,,0,
p5bb22cab,Zara Singh,ZS,student,0,zara.singh@gmail.com,From Community,,,,0,
p1514dd02,Naina Malhotra,NM,student,0,naina.malhotra@gmail.com,Visited profile,,,,0,
p452fc3a5,Rahul Khan,RK,student,0,rahul.khan@gmail.com,From Community,,,,1,
p18070452,Tanvi Mehta,TM,parent,0,tanvi.mehta@gmail.com,From chat share,,,,0,
pa6942f57,Aarav Nair,AN,student,1,aarav.nair@gmail.com,Recommended match,College shortlisting,,2026-09-23 00:20,0,1999
p9a689e94,Tanvi Verma,TV,student,0,tanvi.verma@gmail.com,From Community,,,,1,
p14089ba0,Isha Kulkarni,IK,student,0,isha.kulkarni@gmail.com,Visited profile,,,,0,
p78194bca,Sneha Menon,SM,student,1,sneha.menon@gmail.com,From Community,,,2026-08-06 07:05,0,1999
pe19a0eef,Pooja Khan,PK,student,1,pooja.khan@gmail.com,From Community,,,2026-08-31 10:35,0,1999
pc04e6f13,Jia Patel,JP,student,0,jia.patel@gmail.com,From chat share,,,,1,
pd8a9d0fd,Kabir Malhotra,KM,student,1,kabir.malhotra@gmail.com,From Community,Pathway consult,,2026-06-28 19:10,1,1999
p0a5b07fe,Tanvi Khan,TK,student,0,tanvi.khan@gmail.com,From Community,,,,1,
p0b8b38cf,Kabira Rao,KR,student,0,kabira.rao@gmail.com,Visited profile,,,,0,
pd0f1f2f5,Rohan Iyer,RI,student,0,rohan.iyer@gmail.com,From chat share,,,,0,
p57dfae04,Jia Iyer,JI,student,0,jia.iyer@gmail.com,Visited profile,,,,0,
p15378cab,Yash Trivedi,YT,student,0,yash.trivedi@gmail.com,From chat share,,,,0,
p3655522f,Veer Ahuja,VA,student,1,veer.ahuja@gmail.com,From Community,College shortlisting,,2026-07-04 17:45,0,1999
pbd453686,Tara Kapoor,TK,student,1,tara.kapoor@gmail.com,Visited profile,,,2026-09-15 09:45,0,1999
p12f8ab41,Manav Iyer,MI,parent,0,manav.iyer@gmail.com,From chat share,,,,0,
p2b277799,Tanvi Banerjee,TB,parent,0,tanvi.banerjee@gmail.com,From Community,,,,0,
p5c7331cc,Myra Bose,MB,student,1,myra.bose@gmail.com,Visited profile,Parent consult,,2026-09-11 18:30,0,1999
p7b5c4589,Manav Mehta,MM,student,1,manav.mehta@gmail.com,Recommended match,,,2026-09-12 07:35,1,1999
pcc099df0,Harsh Nanda,HN,student,0,harsh.nanda@gmail.com,Visited profile,,,,0,
pce48af42,Anvi Agarwal,AA,parent,0,anvi.agarwal@gmail.com,Visited profile,,,,0,
peb24937c,Ananya Nair,AN,student,0,ananya.nair@gmail.com,Visited profile,,,,1,
pb76de16e,Diya Jain,DJ,parent,0,diya.jain@gmail.com,Visited profile,,,,0,
p623084c8,Ira Ghosh,IG,student,0,ira.ghosh@gmail.com,From Community,,,,0,
